"setting_name","setting_name_wa","setting_val","category","hyouji_jun","editable_flg","hissu_flg","format_regex","description"
"shiharai_houhou_A001","支払方法(経費立替精算)","1,2","支払方法","34","1","1","(0|[1-2][0-2]{0,2}(,[0-2]{1}){0,})","支払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A002","支払方法(仮払申請)","1,2","支払方法","35","1","1","(0|[1-2][0-2]{0,2}(,[0-2]{1}){0,})","仮払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A004","支払方法(旅費精算)","1,2","支払方法","36","1","1","(0|[1-2][0-2]{0,2}(,[0-2]{1}){0,})","支払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A005","支払方法(旅費仮払申請)","1,2","支払方法","37","1","1","(0|[1-2][0-2]{0,2}(,[0-2]{1}){0,})","仮払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"bumon_cd_ketasuu","部門コード桁数","8","その他","38","1","1","[4-8]","所属部門の部門コードの桁数。
登録や更新時にこの定義の桁数でのみ登録可能とする。
4～8を設定する。"
"record_num_per_page","１ページ表示件数","50","その他","39","1","1","[1-9]\d{0,2}","一覧画面の1ページ表示可能件数（1～999）。"
"file_num_for_download","ダウンロードファイル件数","300","その他","40","1","1","[1-9]\d{0,3}","ファイルの一括ダウンロード最大件数（1～9999）。"
"data_hozon_nissuu","データ保存日数","3000","その他","41","1","0","[1-9]\d{0,3}","データをどれだけ保存するかを決める基準日数（100～9999）。
削除しない場合はブランク。"
"kinyukikan_cd_yuucho","金融機関コード(郵貯)","9900","その他","42","0","0","\d{4}","郵貯銀行を表す金融機関コード。半角数字4桁。
基本的にはデフォルトのままでよい。"
"dbdump_url","DBバックアップファイルパス","C:\eteam\dbdump","その他","43","2","1","","DBダンプの格納先URL。
バックアップ運用時に使用する。"
"tenant_max_users_num","テナント最大ユーザー数","5","その他","44","2","1","[1-9]\d{0,5}","テナント内で作成可能なユーザー数の上限。
1～999999"
