"gamen_id","gamen_name","bumon_shozoku_riyoukanou_flg","system_kanri_riyoukanou_flg","workflow_riyoukanou_flg","kaishasettei_riyoukanou_flg","keirishori_riyoukanou_flg","kinou_seigyo_cd"
"TorihikiIchiran","取引（仕訳）一覧","0","1","0","0","1",""
"BumonbetsuTorihikiIchiran","部門別取引（仕訳）一覧","0","1","0","0","1",""
"TorihikiTsuika","取引（仕訳）追加","0","1","0","0","1",""
"TorihikiHenkou","取引（仕訳）変更","0","1","0","0","1",""
"ShiwakeDataHenkou","仕訳データ変更","0","1","0","0","1",""
"KaniTodokeTsuika","簡易届追加","0","1","0","1","0","DS"
"KaniTodokeHenkou","簡易届変更","0","1","0","1","0","DS"
"KaniTodokeIchiran","簡易届一覧","0","1","0","1","0","DS"
"KaniTodokeTextAdd","簡易届テキスト追加","0","1","0","1","0","DS"
"KaniTodokeRadioAdd","簡易届ラジオ追加","0","1","0","1","0","DS"
"KaniTodokePullDownAdd","簡易届プルダウン追加","0","1","0","1","0","DS"
"KaniTodokeCheckBoxAdd","簡易届チェックボックス追加","0","1","0","1","0","DS"
"KaniTodokeTextAreaAdd","簡易届テキストエリア追加","0","1","0","1","0","DS"
"KaniTodokeMasterItemAdd","簡易届マスター追加","0","1","0","1","0","DS"
"KaniTodoke","簡易届","1","1","1","1","1","DS"
"ShouninRouteTouroku","承認ルート登録画面","1","1","1","1","1","RH"
"BumonSuishouRouteIchiran","部門推奨ルート一覧","0","1","0","1","0",""
"BumonSuishouRouteTsuika","部門推奨ルート追加","0","1","0","1","0",""
"BumonSuishouRouteHenkou","部門推奨ルート変更","0","1","0","1","0",""
"ChuukiMongonSetteiIchiran","最終承認者・注記文言設定一覧","0","1","0","1","0",""
"ChuukiMongonSetteiTsuika","最終承認者・注記文言設定追加","0","1","0","1","0",""
"ChuukiMongonSetteiHenkou","最終承認者・注記文言設定変更","0","1","0","1","0",""
"Workflow","ワークフロー(共通インクルード)","1","1","1","1","1",""
"NiniMemo","任意メモ(共通インクルード)","1","1","1","1","1",""
"TenpuFile","添付ファイル(共通インクルード)","1","1","1","1","1",""
"DenpyouKyoutsuu","伝票共通","1","1","1","1","1",""
"RailMapSentaku","路線図選択","1","1","1","1","1",""
"RouteSentaku","経路選択","1","1","1","1","1",""
"StationSentaku","駅名選択","1","1","1","1","1",""
"TeikiKukan","定期検索","1","1","1","1","1",""
"EteamEkispertIntra","駅すぱあとイントラ版","1","1","1","1","1",""
"KihyoucyuuDenpyouIchiran","起票中伝票一覧","1","0","0","0","0",""
"ShouninmachiDenpyouIchiran","承認待ち伝票一覧","1","0","1","0","0",""
"WorkflowEventC","伝票親画面","1","1","1","1","1",""
"Bookmark","お気に入り起票","1","0","0","0","0",""
