"setting_name","setting_name_wa","setting_val","category","hyouji_jun","editable_flg","hissu_flg","format_regex","description"
"shiwake_kbn","仕訳区分","1","OPEN21 連携","35","1","1","(1|2)","仕訳の転記先をどちらにするか。
1：日次用
2：拡張入出力用"
"uf1_denpyou_id_hanei","ユニバーサルフィールド伝票ID反映","0","OPEN21 連携","36","1","1","(0|1)","ユニバーサルフィールド１に伝票IDを反映するかどうか。
ユニバーサルフィールド１が「マスター参照しない」設定の場合のみ、「1：反映する」ことが可能です。
0:反映しない
1:反映する"
"kake_nashi_shiharai_shiwake_sakusei","掛けなし　支払結果仕訳作成有無","1","OPEN21 連携","37","1","1","(0|1)","掛けなしの請求書払い申請明細から、支払結果仕訳（＝計上仕訳）を作成するかどうか。
0：作成しない
1：作成する"
"kake_ari_shiharai_shiwake_sakusei","掛けあり　支払結果仕訳作成有無","1","OPEN21 連携","38","1","1","(0|1)","掛けありの請求書払い申請明細から、支払結果仕訳を作成するかどうか。
※計上仕訳は当設定とは関係なく作成されます。
0：作成しない
1：作成する"
"tsuukinteiki_shiwake_sakusei_umu","通勤定期　仕訳作成有無","0","OPEN21 連携","39","1","1","(0|1)","通勤定期申請から、仕訳を作成するかどうか。
0：作成しない
1：作成する"
"keihiseisan_karibarai_henkin","経費立替仮払相殺","経費立替仮払相殺","OPEN21 連携","40","1","1","","経費立替精算抽出バッチで作成する仮払相殺仕訳の摘要文言に使用する。"
"ryohiseisan_karibarai_henkin","旅費精算仮払相殺","旅費精算仮払相殺","OPEN21 連携","41","1","1","","旅費精算抽出バッチで作成する仮払相殺時の摘要文言に使用する。"
"shain_cd_renkei","社員コード連携","0","OPEN21 連携","42","1","1","(0|1|2|3|4)","社員コードを仕訳に連携するかどうか。
0：連携しない
1：ユニバーサルフィールド１に連携する
2：ユニバーサルフィールド２に連携する
3：ユニバーサルフィールド３に連携する
4：摘要コードに連携する"
"shiharai_houhou_A001","支払方法(経費立替精算)","1,2","支払方法","43","1","1","(1|2|1,2|2,1)","支払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A002","支払方法(仮払申請)","1,2","支払方法","44","1","1","(1|2|1,2|2,1)","仮払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A004","支払方法(旅費精算)","1,2","支払方法","45","1","1","(1|2|1,2|2,1)","支払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A005","支払方法(旅費仮払申請)","1,2","支払方法","46","1","1","(1|2|1,2|2,1)","仮払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"bumon_cd_ketasuu","部門コード桁数","8","その他","47","1","1","[4-8]","所属部門の部門コードの桁数。
登録や更新時にこの定義の桁数でのみ登録可能とする。
4～8を設定する。"
"record_num_per_page","１ページ表示件数","50","その他","48","1","1","[1-9]\d{0,2}","一覧画面の1ページ表示可能件数（1～999）。"
"file_num_for_download","ダウンロードファイル件数","300","その他","49","1","1","[1-9]\d{0,3}","ファイルの一括ダウンロード最大件数（1～9999）。"
"data_hozon_nissuu","データ保存日数","3000","その他","50","1","0","[1-9]\d{2,3}","データをどれだけ保存するかを決める基準日数（100～9999）。
削除しない場合はブランク。"
"kinyukikan_cd_yuucho","金融機関コード(郵貯)","9900","その他","51","0","0","\d{4}","郵貯銀行を表す金融機関コード。半角数字4桁。
基本的にはデフォルトのままでよい。"
"dbdump_url","DBバックアップファイルパス","C:\eteam\dbdump","その他","52","2","1","","DBダンプの格納先URL。
バックアップ運用時に使用する。"
"tenant_max_users_num","テナント最大ユーザー数","5","その他","53","2","1","[1-9]\d{0,5}","テナント内で作成可能なユーザー数の上限。
1～999999"
"hyouji_kaisha_num","法人名","","その他","54","1","0","^.{0,20}$","ヘッダに表示する法人名。
20文字以内で設定する。
空にした場合、法人名は表示されません。"
