"setting_name","setting_name_wa","setting_val","category","hyouji_jun","editable_flg","hissu_flg","format_regex","description"
"op21mparam_layout_no","レイアウトNo","0","OPEN21 連携","34","0","0","","op21mparam_layout_no
現在0固定"
"op21mparam_denpyou_nyuuryoku_pattern","伝票入力パターン","0","OPEN21 連携","35","0","0","\d{0,2}","登録済み伝票入力パターン（0～99）
省略可能（0 を指定）"
"op21mparam_denpyou_nyuuryoku_pattern_A001","伝票入力パターン(経費立替精算)","0","OPEN21 連携","36","1","1","\d{0,2}","OPEN21での登録済み伝票入力パターンを指定します。（0～99）
未登録の場合は0を指定します。"
"op21mparam_denpyou_nyuuryoku_pattern_A004","伝票入力パターン(出張旅費精算)","0","OPEN21 連携","37","1","1","\d{0,2}","OPEN21での登録済み伝票入力パターンを指定します。（0～99）
未登録の場合は0を指定します。"
"op21mparam_houka_kanzan_flg","邦貨換算フラグ","0","OPEN21 連携","38","0","0","(0|1)","0:外貨金額から邦貨金額の換算を行わない
1:外貨金額から邦貨金額の換算を行う
省略可能（0 を指定）"
"op21mparam_kidou_user","起動ユーザー","0001","OPEN21 連携","39","1","0","\d{4,4}","0001～9999 のOPEN21ユーザーを指定します。
削除及び未登録ユーザー、使用できないユーザーを除きます。
その他の場合は“0000”を指定します。"
"shiwake_kbn","仕訳区分","1","OPEN21 連携","40","1","1","(1|2)","仕訳の転記先をどちらにするか。
1：日次用
2：拡張入出力用"
"kakutei_umu","確定有無","1","OPEN21 連携","41","1","0","(1|2)","転記先が拡張入出力の場合、確定済データとするかどうか。
1：確定済にする
2：未確定データにする"
"uf1_denpyou_id_hanei","ユニバーサルフィールド伝票ID反映","0","OPEN21 連携","42","1","1","(0|(UF)([1-3]))","ユニバーサルフィールドに伝票IDを反映するかどうか。
マッピングするフィールドの使用フラグが1(マスター参照しない)でなければいけません。
0:反映しない
UF1～UF3：ユニバーサルフィールド１～３に反映する"
"kake_nashi_shiharai_shiwake_sakusei","掛けなし　支払結果仕訳作成有無","1","OPEN21 連携","43","1","1","(0|1)","掛けなしの請求書払い申請明細から、支払結果仕訳（＝計上仕訳）を作成するかどうか。
0：作成しない
1：作成する"
"kake_ari_shiharai_shiwake_sakusei","掛けあり　支払結果仕訳作成有無","1","OPEN21 連携","44","1","1","(0|1)","掛けありの請求書払い申請明細から、支払結果仕訳を作成するかどうか。
※計上仕訳は当設定とは関係なく作成されます。
0：作成しない
1：作成する"
"tsuukinteiki_shiwake_sakusei_umu","通勤定期　仕訳作成有無","0","OPEN21 連携","45","1","1","(0|1)","通勤定期申請から、仕訳を作成するかどうか。
0：作成しない
1：作成する"
"shain_cd_renkei","社員コード連携","0","OPEN21 連携","46","1","1","(0|(UF)([1-3])|T)","社員コードを仕訳に連携するかどうか。
0：連携しない
UF1～UF3：ユニバーサルフィールド１～３に連携する
T：摘要コードに連携する"
"shiwake_sakusei_error_action","仕訳作成エラー発生時の進め方","1","OPEN21 連携","47","1","1","(1|2)","仕訳作成処理でエラーが発生した時の進め方を指定します。
1：エラーが発生した伝票種別の仕訳は全て転記しない
2：正常な仕訳は転記する"
"shiwake_sakusei_sakihiduke","先日付の仕訳連携","0","OPEN21 連携","48","1","1","(0|1)","仕訳作成処理で先日付の仕訳連携を許容するかどうかを指定します。
0：許容しない
1：許容する"
"shiwake_sakusei_houhou_A001","仕訳作成方法(経費立替精算)","3","OPEN21 連携","49","1","1","(1|2|3)","仕訳の作成方法を指定します。
※仕訳作成方法を現金主義→発生主義に変更した場合、必ず経費立替精算の取引に対して貸方３を設定してください。
1：発生主義（計上日と支払日が異なる場合作成）
2：発生主義（常に作成）
3：現金主義"
"shiwake_sakusei_houhou_A009","仕訳作成方法(自動引落)","3","OPEN21 連携","50","1","1","(1|2|3)","仕訳の作成方法を指定します。
※仕訳作成方法を現金主義→発生主義に変更した場合、必ず自動引落の取引に対して貸方２を設定してください。
1：発生主義（計上日と支払日が異なる場合作成）
2：発生主義（常に作成）
3：現金主義"
"shiwake_sakusei_houhou_A004","仕訳作成方法(出張旅費精算)","3","OPEN21 連携","51","1","1","(1|2|3)","仕訳の作成方法を指定します。
※仕訳作成方法を現金主義→発生主義に変更した場合、必ず出張旅費精算の取引に対して貸方３を設定してください。
1：発生主義（計上日と支払日が異なる場合作成）
2：発生主義（常に作成）
3：現金主義"
"shiwake_sakusei_houhou_A010","仕訳作成方法(交通費精算)","3","OPEN21 連携","52","1","1","(1|2|3)","仕訳の作成方法を指定します。
※仕訳作成方法を現金主義→発生主義に変更した場合、必ず交通費精算の取引に対して貸方３を設定してください。
1：発生主義（計上日と支払日が異なる場合作成）
2：発生主義（常に作成）
3：現金主義"
"zankin_shiwake_sakusei_umu_A001","仮払残金仕訳作成有無(経費立替精算)","1","OPEN21 連携","53","1","1","(0|1)","精算において仮払残金仕訳の作成有無を指定します。
伝票形式（経費立替精算）の値が1もしくは2の際に有効。
0：作成しない
1：作成する"
"zankin_shiwake_sakusei_umu_A004","仮払残金仕訳作成有無(出張旅費精算)","1","OPEN21 連携","54","1","1","(0|1)","精算において仮払残金仕訳の作成有無を指定します。
伝票形式（出張旅費精算）の値が1もしくは2の際に有効。
0：作成しない
1：作成する"
"denpyou_serial_no_start","開始番号(伝票番号)","1","OPEN21 連携","55","1","1","^\d{0,7}[13579]$","伝票番号の開始を指定します。
1～99999997の奇数番号を設定。"
"denpyou_serial_no_end","終了番号(伝票番号)","99999998","OPEN21 連携","56","1","1","^\d{0,7}[02468]$","伝票番号の終了を指定します。
2～99999998の偶数番号を設定。"
"denpyou_sakusei_tani_A001","経費立替精算","1","伝票作成単位","57","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A002","仮払申請","1","伝票作成単位","58","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A003","請求書払い申請","1","伝票作成単位","59","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A009","自動引落伝票","1","伝票作成単位","60","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A004","出張旅費精算","1","伝票作成単位","61","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A005","出張旅費仮払申請","1","伝票作成単位","62","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A010","交通費精算","1","伝票作成単位","63","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A006","通勤定期申請","1","伝票作成単位","64","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A007","振替伝票","1","伝票作成単位","65","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"denpyou_sakusei_tani_A008","総合付替伝票","1","伝票作成単位","66","1","1","(1|2)","仕訳転記時の伝票作成単位を指定します。
1：伝票種別毎申請伝票毎
2：伝票種別毎同一伝票日付毎"
"shiwake_tekiyou_naiyou_A001","経費立替精算","<USER> <SHIYOUBI>  <TEKIYOU>","仕訳摘要内容","67","1","1","","<USER>：ユーザー名
<SHIYOUSHA>：伝票画面で入力した使用者
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SHIYOUBI>：伝票画面で入力した使用日"
"shiwake_tekiyou_naiyou_A001_1","経費立替仮払相殺","<USER>  経費立替仮払相殺","仕訳摘要内容","68","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SHIYOUBI>：伝票画面で入力した使用日"
"shiwake_tekiyou_naiyou_A001_2","(仮払未使用)経費立替仮払相殺","<USER>  (仮払未使用)経費立替仮払相殺","仕訳摘要内容","69","1","1","","<USER>：ユーザー名"
"shiwake_tekiyou_naiyou_A001_3","経費立替仮払残金","<USER>  経費立替仮払残金","仕訳摘要内容","70","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SHIYOUBI>：伝票画面で入力した使用日"
"shiwake_tekiyou_naiyou_A002","仮払申請","<USER>  <TEKIYOU>","仕訳摘要内容","71","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要"
"shiwake_tekiyou_naiyou_A003","請求書払い申請","<USER>  <TEKIYOU>","仕訳摘要内容","72","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要"
"shiwake_tekiyou_naiyou_A004","出張旅費精算","<USER>  <SEISANEND>  <TEKIYOU>","仕訳摘要内容","73","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SEISANSTART>：伝票画面で入力した精算期間開始日
<SEISANEND>：伝票画面で入力した精算期間終了日"
"shiwake_tekiyou_naiyou_A004_1","出張旅費精算仮払相殺","<USER>  出張旅費精算仮払相殺","仕訳摘要内容","74","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SEISANSTART>：伝票画面で入力した精算期間開始日
<SEISANEND>：伝票画面で入力した精算期間終了日"
"shiwake_tekiyou_naiyou_A004_2","(仮払未使用)出張旅費精算仮払相殺","<USER>  (仮払未使用)出張旅費精算仮払相殺","仕訳摘要内容","75","1","1","","<USER>：ユーザー名"
"shiwake_tekiyou_naiyou_A004_3","出張旅費精算仮払残金","<USER>  出張旅費精算仮払残金","仕訳摘要内容","76","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SEISANEND>：伝票画面で入力した精算期間終了日"
"shiwake_tekiyou_naiyou_A005","出張旅費仮払申請","<USER>  <TEKIYOU>","仕訳摘要内容","77","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要"
"shiwake_tekiyou_naiyou_A006","通勤定期申請","<USER>  <TORIHIKI>","仕訳摘要内容","78","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名"
"shiwake_tekiyou_naiyou_A009","自動引落伝票","<USER>  <TEKIYOU>","仕訳摘要内容","79","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要"
"shiwake_tekiyou_naiyou_A010","交通費精算","<USER>  <SEISANEND>  <TEKIYOU>","仕訳摘要内容","80","1","1","","<USER>：ユーザー名
<TORIHIKI>：伝票画面で入力した取引名
<TEKIYOU>：伝票画面で入力した摘要
<SEISANSTART>：伝票画面で入力した精算期間開始日
<SEISANEND>：伝票画面で入力した精算期間終了日"
"shiharai_houhou_A001","支払方法(経費立替精算)","1,2","支払方法","81","1","1","(1|2|1,2|2,1)","支払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A002","支払方法(仮払申請)","1,2","支払方法","82","1","1","(1|2|1,2|2,1)","仮払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A004","支払方法(出張旅費・交通費)","1,2","支払方法","83","1","1","(1|2|1,2|2,1)","支払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"shiharai_houhou_A005","支払方法(出張旅費仮払申請)","1,2","支払方法","84","1","1","(1|2|1,2|2,1)","仮払金の支払方法を指定します。（複数指定する場合は、カンマ区切り）
1：現金
2：振込"
"seikyuu_keijou_nyuuryoku","請求書払い申請(申請者の計上日入力)","0","計上日・支払","85","1","1","(0|1)","請求書払い申請の計上日を申請者が入力するかどうか。
0：しない(経理権限のみ計上日を入力可能)
1：する"
"seikyuu_keijou_seigen","請求書払い申請(申請者の計上日制限)","","計上日・支払","86","1","0","(0|1)","請求書払い申請(申請者の計上日入力)が「する」の場合、
申請者が入力した計上日を制限するかどうかを指定します。
0：しない
1：する
「する」の場合、請求書払い申請締メニューから計上日の締めを行うことができます。
申請者は締め日以前の計上日を入力することはできません。"
"keijoubi_default_A001","計上日デフォルト設定(経費立替精算)","1","計上日・支払","87","1","1","(1|2)","計上日のデフォルトを指定します。
1：使用日
2：申請日"
"keijoubi_default_A004","計上日デフォルト設定(出張旅費精算)","1","計上日・支払","88","1","1","(1|2)","計上日のデフォルトを指定します。
1：精算期間終了日
2：申請日"
"keijoubi_default_A010","計上日デフォルト設定(交通費精算)","1","計上日・支払","89","1","1","(1|2)","計上日のデフォルトを指定します。
1：精算期間終了日
2：申請日"
"furikomi_rule_A001","経費立替精算","0","振込日ルール適用","90","1","1","(0|1)","経費立替精算を、振込日ルールマスターによる振込日自動決定の対象とするかどうか。
0：対象としない
1：対象とする"
"furikomi_rule_A002","仮払申請","0","振込日ルール適用","91","1","1","(0|1)","仮払申請を、振込日ルールマスターによる振込日自動決定の対象とするかどうか。
0：対象としない
1：対象とする"
"furikomi_rule_A004","出張旅費精算","0","振込日ルール適用","92","1","1","(0|1)","出張旅費精算を、振込日ルールマスターによる振込日自動決定の対象とするかどうか。
0：対象としない
1：対象とする"
"furikomi_rule_A005","出張旅費仮払申請","0","振込日ルール適用","93","1","1","(0|1)","出張旅費仮払申請を、振込日ルールマスターによる振込日自動決定の対象とするかどうか。
0：対象としない
1：対象とする"
"furikomi_rule_A010","交通費精算","0","振込日ルール適用","94","1","1","(0|1)","交通費精算を、振込日ルールマスターによる振込日自動決定の対象とするかどうか。
0：対象としない
1：対象とする"
"furikomi_rule_A006","通勤定期申請","0","振込日ルール適用","95","1","1","(0|1)","通勤定期申請を、振込日ルールマスターによる振込日自動決定の対象とするかどうか。
0：対象としない
1：対象とする"
"ouin_num","押印枠数","8","帳票","96","1","1","([0-8]|[X]|[Z])","押印枠の表示数を決定する。
0：押印枠非表示。
1～8：承認者印字なしの枠を指定個数分表示。
X：承認者印字ありの枠を、申請者+承認者の数だけ印字。ただし最大8枠まで。9人以上居る場合、上位承認者は非表示。
Z：申請者＋承認者の数だけ枠を表示し、印影(画像)を表示。最大枠数は「X」の設定時と同様。"
"ouin_size","押印枠サイズ","1","帳票","97","1","1","[1-2]","押印枠のサイズを指定します。
1：大
2：小"
"tenpu_denpyou_jidou_flg","添付伝票に仮払案件を自動的に追加","0","添付伝票","98","1","1","(0|1)","仮払案件選択時、自動的に添付伝票にも選択するかどうか。
0：しない
1：する"
"shinsei_kikan_check_nissuu","申請期間チェック日数","0","旅費仮払運用方法","99","1","1","(0|[1-9]\d{0,2})","申請期間チェック用の日数を指定します(1～999)。
0：使用しない"
"shinsei_kikan_check_mongon","申請期間チェック文言","申請が<DAY>日以内です！","旅費仮払運用方法","100","1","1","","申請期間チェック用の文言を指定します。
<DAY>：申請期間チェック日数で指定した日数"
"karibarai_sentaku_seigyo","仮払選択制御","2","旅費仮払運用方法","101","1","1","(0|1|2)","出張伺い申請(仮払申請)で仮払の表示を制御します。
0：「仮払なし」のみ選択可能
1：「仮払あり」のみ選択可能
2：「仮払あり・なし」両方とも選択可能"
"bumon_cd_ketasuu","部門コード桁数","8","その他","102","1","1","[4-8]","所属部門の部門コードの桁数。
登録や更新時にこの定義の桁数でのみ登録可能とする。
4～8を設定する。"
"record_num_per_page","１ページ表示件数","50","その他","103","1","1","[1-9]\d{0,2}","一覧画面の1ページ表示可能件数（1～999）。"
"file_num_for_download","ダウンロードファイル件数","300","その他","104","1","1","[1-9]\d{0,3}","ファイルの一括ダウンロード最大件数（1～9999）。"
"data_hozon_nissuu","データ保存日数","3000","その他","105","1","0","[1-9]\d{2,3}","データをどれだけ保存するかを決める基準日数（100～9999）。
削除しない場合はブランク。"
"kinyukikan_cd_yuucho","金融機関コード(郵貯)","9900","その他","106","0","0","\d{4}","郵貯銀行を表す金融機関コード。半角数字4桁。
基本的にはデフォルトのままでよい。"
"dbdump_url","DBバックアップファイルパス","C:\eteam\dbdump","その他","107","2","1","","DBダンプの格納先URL。
バックアップ運用時に使用する。"
"tenant_max_users_num","テナント最大ユーザー数","5","その他","108","2","1","[1-9]\d{0,5}","テナント内で作成可能なユーザー数の上限。
1～999999"
"hyouji_kaisha_num","法人名","","その他","109","1","0","^.{0,20}$","ヘッダに表示する法人名。
20文字以内で設定する。
空にした場合、法人名は表示されません。"
"torihiki_settei","取引コードの設定可否","0","その他","110","1","1","(0|1)","取引登録時に、取引コードを設定可能かどうか。
0：不可能
1：可能"
